,subject,total_freq,mellon_total_occ,packard_total_occ,gates_total_occ,osf_total_occ,rwj_total_occ,hewlett_total_occ,ford_total_occ,mellon_pct_of_pubs,packard_pct_of_pubs,gates_pct_of_pubs,osf_pct_of_pubs,rwj_pct_of_pubs,hewlett_pct_of_pubs,ford_pct_of_pubs
105,Ethics,85,11,0,10,8,52,1,3,0.00385559060637925,0.0,0.0003906097418069607,0.007619047619047619,0.0056830601092896175,0.0009643201542912247,0.001294777729823047
106,"Chemistry, Multidisciplinary",831,23,293,428,6,6,5,70,0.008061689449702068,0.036465463596764155,0.016718096949337916,0.005714285714285714,0.0006557377049180328,0.0048216007714561235,0.030211480362537766
107,"Social Sciences, Interdisciplinary",267,18,9,66,21,72,25,56,0.006309148264984227,0.001120099564405725,0.0025780242959259404,0.02,0.007868852459016393,0.024108003857280617,0.02416918429003021
108,"Chemistry, Inorganic & Nuclear",39,8,19,2,1,0,0,9,0.0028040658955485456,0.0023646546359676417,7.812194836139214e-05,0.0009523809523809524,0.0,0.0,0.003884333189469141
109,Mechanics,33,3,13,12,0,0,0,5,0.0010515247108307045,0.0016179215930304915,0.0004687316901683528,0.0,0.0,0.0,0.0021579628830384117
110,Immunology,3757,5,50,3489,24,154,14,21,0.0017525411847178409,0.006222775357809583,0.13628373891644857,0.022857142857142857,0.016830601092896174,0.013500482160077145,0.00906344410876133
111,"Literature, African, Australian, Canadian",2,2,0,0,0,0,0,0,0.0007010164738871364,0.0,0.0,0.0,0.0,0.0,0.0
112,Behavioral Sciences,161,40,19,24,1,56,2,19,0.014020329477742727,0.0023646546359676417,0.0009374633803367056,0.0009523809523809524,0.006120218579234973,0.0019286403085824494,0.008200258955545965
113,Hematology,153,1,19,76,10,44,0,3,0.0003505082369435682,0.0023646546359676417,0.002968634037732901,0.009523809523809525,0.004808743169398907,0.0,0.001294777729823047
114,Social Issues,124,5,3,19,7,67,5,18,0.0017525411847178409,0.000373366521468575,0.0007421585094332252,0.006666666666666667,0.0073224043715847,0.0048216007714561235,0.007768666378938282
115,Biology,738,61,224,365,7,41,2,38,0.02138100245355766,0.02787803360298693,0.014257255575954064,0.006666666666666667,0.004480874316939891,0.0019286403085824494,0.01640051791109193
116,Meteorology & Atmospheric Sciences,209,33,96,38,10,5,13,14,0.011566771819137749,0.0119477286869944,0.0014843170188664505,0.009523809523809525,0.000546448087431694,0.01253616200578592,0.006042296072507553
117,Water Resources,272,16,39,185,7,5,2,18,0.005608131791097091,0.0048537647790914745,0.007226280223428773,0.006666666666666667,0.000546448087431694,0.0019286403085824494,0.007768666378938282
118,Criminology & Penology,102,2,2,6,25,58,0,9,0.0007010164738871364,0.0002489110143123833,0.0002343658450841764,0.023809523809523808,0.00633879781420765,0.0,0.003884333189469141
119,Nursing,559,1,6,38,4,502,2,6,0.0003505082369435682,0.00074673304293715,0.0014843170188664505,0.0038095238095238095,0.054863387978142074,0.0019286403085824494,0.002589555459646094
120,Automation & Control Systems,30,1,6,10,2,1,4,6,0.0003505082369435682,0.00074673304293715,0.0003906097418069607,0.0019047619047619048,0.0001092896174863388,0.003857280617164899,0.002589555459646094
121,Robotics,36,1,20,5,4,1,2,3,0.0003505082369435682,0.002489110143123833,0.00019530487090348034,0.0038095238095238095,0.0001092896174863388,0.0019286403085824494,0.001294777729823047
122,Health Policy & Services,1743,11,16,415,27,1206,23,45,0.00385559060637925,0.0019912881144990664,0.016210304284988868,0.025714285714285714,0.1318032786885246,0.022179363548698167,0.019421665947345707
123,Respiratory System,410,1,7,301,2,80,7,12,0.0003505082369435682,0.0008711885500933416,0.011757353228389516,0.0019047619047619048,0.008743169398907104,0.006750241080038573,0.005179110919292188
124,Limnology,66,20,32,7,0,0,0,7,0.0070101647388713636,0.003982576228998133,0.0002734268192648725,0.0,0.0,0.0,0.0030211480362537764
125,History Of Social Sciences,20,8,0,1,6,2,0,3,0.0028040658955485456,0.0,3.906097418069607e-05,0.005714285714285714,0.0002185792349726776,0.0,0.001294777729823047
126,"Literature, American",4,3,0,0,0,0,0,1,0.0010515247108307045,0.0,0.0,0.0,0.0,0.0,0.00043159257660768235
127,Geriatrics & Gerontology,173,4,3,11,2,144,0,9,0.0014020329477742728,0.000373366521468575,0.00042967071598765675,0.0019047619047619048,0.015737704918032787,0.0,0.003884333189469141
128,Allergy,62,1,8,16,1,34,0,2,0.0003505082369435682,0.0009956440572495332,0.0006249755868911371,0.0009523809523809524,0.003715846994535519,0.0,0.0008631851532153647
129,International Relations,74,16,21,1,21,1,6,8,0.005608131791097091,0.0026135656502800247,3.906097418069607e-05,0.02,0.0001092896174863388,0.0057859209257473485,0.0034527406128614588
130,Classics,3,2,0,0,1,0,0,0,0.0007010164738871364,0.0,0.0,0.0009523809523809524,0.0,0.0,0.0
131,"Engineering, Multidisciplinary",32,1,6,20,1,2,0,2,0.0003505082369435682,0.00074673304293715,0.0007812194836139214,0.0009523809523809524,0.0002185792349726776,0.0,0.0008631851532153647
132,"Engineering, Manufacturing",9,1,3,2,0,1,0,2,0.0003505082369435682,0.000373366521468575,7.812194836139214e-05,0.0,0.0001092896174863388,0.0,0.0008631851532153647
133,Microbiology,2413,12,140,2185,9,45,0,22,0.004206098843322818,0.017423771001866834,0.08534822858482091,0.008571428571428572,0.004918032786885246,0.0,0.009495036685369012
134,Otorhinolaryngology,27,3,0,5,1,16,1,1,0.0010515247108307045,0.0,0.00019530487090348034,0.0009523809523809524,0.0017486338797814208,0.0009643201542912247,0.00043159257660768235
135,Surgery,243,3,14,22,1,193,9,1,0.0010515247108307045,0.0017423771001866832,0.0008593414319753135,0.0009523809523809524,0.021092896174863388,0.008678881388621022,0.00043159257660768235
136,Acoustics,35,4,4,18,3,4,0,2,0.0014020329477742728,0.0004978220286247666,0.0007030975352525292,0.002857142857142857,0.0004371584699453552,0.0,0.0008631851532153647
