,subject,total_freq,mellon_total_occ,packard_total_occ,gates_total_occ,osf_total_occ,rwj_total_occ,hewlett_total_occ,ford_total_occ,mellon_pct_of_pubs,packard_pct_of_pubs,gates_pct_of_pubs,osf_pct_of_pubs,rwj_pct_of_pubs,hewlett_pct_of_pubs,ford_pct_of_pubs
68,Genetics & Heredity,1036,28,238,592,19,123,0,36,0.00981423063441991,0.029620410703173616,0.02312409671497207,0.018095238095238095,0.013442622950819673,0.0,0.015537332757876565
69,Oceanography,375,62,298,0,0,0,0,15,0.021731510690501228,0.037087741132545114,0.0,0.0,0.0,0.0,0.006473888649115235
70,General & Internal Medicine,2853,10,57,1434,92,1168,60,32,0.0035050823694356818,0.007093963907902925,0.05601343697511816,0.08761904761904762,0.1276502732240437,0.05785920925747348,0.013810962451445835
71,Theater,4,4,0,0,0,0,0,0,0.0014020329477742728,0.0,0.0,0.0,0.0,0.0,0.0
72,Public Administration,128,9,4,27,15,23,10,40,0.0031545741324921135,0.0004978220286247666,0.0010546463028787939,0.014285714285714285,0.0025136612021857923,0.009643201542912247,0.017263703064307294
73,Social Sciences - Other Topics,402,38,11,79,36,145,27,66,0.01331931300385559,0.0013690105787181083,0.003085816960274989,0.03428571428571429,0.015846994535519125,0.026036644165863067,0.028485110056107037
74,Mechanics,33,3,13,12,0,0,0,5,0.0010515247108307045,0.0016179215930304915,0.0004687316901683528,0.0,0.0,0.0,0.0021579628830384117
75,Immunology,3757,5,50,3489,24,154,14,21,0.0017525411847178409,0.006222775357809583,0.13628373891644857,0.022857142857142857,0.016830601092896174,0.013500482160077145,0.00906344410876133
76,Behavioral Sciences,161,40,19,24,1,56,2,19,0.014020329477742727,0.0023646546359676417,0.0009374633803367056,0.0009523809523809524,0.006120218579234973,0.0019286403085824494,0.008200258955545965
77,Hematology,153,1,19,76,10,44,0,3,0.0003505082369435682,0.0023646546359676417,0.002968634037732901,0.009523809523809525,0.004808743169398907,0.0,0.001294777729823047
78,Social Issues,124,5,3,19,7,67,5,18,0.0017525411847178409,0.000373366521468575,0.0007421585094332252,0.006666666666666667,0.0073224043715847,0.0048216007714561235,0.007768666378938282
79,Life Sciences & Biomedicine - Other Topics,738,61,224,365,7,41,2,38,0.02138100245355766,0.02787803360298693,0.014257255575954064,0.006666666666666667,0.004480874316939891,0.0019286403085824494,0.01640051791109193
80,Meteorology & Atmospheric Sciences,209,33,96,38,10,5,13,14,0.011566771819137749,0.0119477286869944,0.0014843170188664505,0.009523809523809525,0.000546448087431694,0.01253616200578592,0.006042296072507553
81,Water Resources,272,16,39,185,7,5,2,18,0.005608131791097091,0.0048537647790914745,0.007226280223428773,0.006666666666666667,0.000546448087431694,0.0019286403085824494,0.007768666378938282
82,Criminology & Penology,102,2,2,6,25,58,0,9,0.0007010164738871364,0.0002489110143123833,0.0002343658450841764,0.023809523809523808,0.00633879781420765,0.0,0.003884333189469141
83,Nursing,559,1,6,38,4,502,2,6,0.0003505082369435682,0.00074673304293715,0.0014843170188664505,0.0038095238095238095,0.054863387978142074,0.0019286403085824494,0.002589555459646094
84,Automation & Control Systems,30,1,6,10,2,1,4,6,0.0003505082369435682,0.00074673304293715,0.0003906097418069607,0.0019047619047619048,0.0001092896174863388,0.003857280617164899,0.002589555459646094
85,Robotics,36,1,20,5,4,1,2,3,0.0003505082369435682,0.002489110143123833,0.00019530487090348034,0.0038095238095238095,0.0001092896174863388,0.0019286403085824494,0.001294777729823047
86,Respiratory System,410,1,7,301,2,80,7,12,0.0003505082369435682,0.0008711885500933416,0.011757353228389516,0.0019047619047619048,0.008743169398907104,0.006750241080038573,0.005179110919292188
87,Allergy,62,1,8,16,1,34,0,2,0.0003505082369435682,0.0009956440572495332,0.0006249755868911371,0.0009523809523809524,0.003715846994535519,0.0,0.0008631851532153647
88,International Relations,74,16,21,1,21,1,6,8,0.005608131791097091,0.0026135656502800247,3.906097418069607e-05,0.02,0.0001092896174863388,0.0057859209257473485,0.0034527406128614588
89,Classics,3,2,0,0,1,0,0,0,0.0007010164738871364,0.0,0.0,0.0009523809523809524,0.0,0.0,0.0
90,Microbiology,2413,12,140,2185,9,45,0,22,0.004206098843322818,0.017423771001866834,0.08534822858482091,0.008571428571428572,0.004918032786885246,0.0,0.009495036685369012
91,Otorhinolaryngology,27,3,0,5,1,16,1,1,0.0010515247108307045,0.0,0.00019530487090348034,0.0009523809523809524,0.0017486338797814208,0.0009643201542912247,0.00043159257660768235
